period,Quarterly – Short-term debt securities – General government – Million euro – Italy (Eurostat/gov_10q_ggdebt/Q.F31.S13.MIO_EUR.IT)
2000-Q1,115495.5
2000-Q2,115035.9
2000-Q3,113264.3
2000-Q4,101923.2
2001-Q1,115450.0
2001-Q2,121533.5
2001-Q3,124016.6
2001-Q4,113700.4
2002-Q1,128564.5
2002-Q2,136777.3
2002-Q3,133318.9
2002-Q4,113325.2
2003-Q1,133822.0
2003-Q2,139620.1
2003-Q3,139584.3
2003-Q4,119382.0
2004-Q1,144443.7
2004-Q2,147553.7
2004-Q3,145334.5
2004-Q4,118383.6
2005-Q1,129589.1
2005-Q2,138876.9
2005-Q3,141424.2
2005-Q4,117459.7
2006-Q1,135868.5
2006-Q2,143025.3
2006-Q3,135203.8
2006-Q4,122307.0
2007-Q1,142994.4
2007-Q2,143348.6
2007-Q3,146421.8
2007-Q4,127940.8
2008-Q1,153805.8
2008-Q2,161975.4
2008-Q3,160868.7
2008-Q4,147371.1
2009-Q1,172489.8
2009-Q2,178264.5
2009-Q3,168775.9
2009-Q4,139910.7
2010-Q1,150440.7
2010-Q2,149810.4
2010-Q3,147855.9
2010-Q4,129866.9
2011-Q1,142246.4
2011-Q2,136638.1
2011-Q3,145735.7
2011-Q4,131181.1
2012-Q1,162646.0
2012-Q2,161141.1
2012-Q3,166202.8
2012-Q4,151554.7
2013-Q1,156700.0
2013-Q2,163272.2
2013-Q3,163678.7
2013-Q4,140581.0
2014-Q1,144081.4
2014-Q2,142454.5
2014-Q3,137510.5
2014-Q4,124540.0
2015-Q1,130047.7
2015-Q2,127996.6
2015-Q3,123600.5
2015-Q4,115032.3
2016-Q1,118709.8
2016-Q2,117897.5
2016-Q3,116303.1
2016-Q4,107026.1
2017-Q1,114289.7
2017-Q2,115719.0
2017-Q3,115163.4
2017-Q4,106562.7
2018-Q1,112826.3
2018-Q2,113438.4
2018-Q3,112804.2
2018-Q4,107357.6
2019-Q1,115874.0
2019-Q2,116480.0
2019-Q3,119166.0
2019-Q4,113786.3
2020-Q1,118104.0
2020-Q2,140622.9
2020-Q3,138715.0
2020-Q4,125239.6
2021-Q1,124448.9
2021-Q2,122838.6
2021-Q3,123877.7
2021-Q4,113385.6
2022-Q1,112066.2
2022-Q2,110151.1
2022-Q3,109124.9
2022-Q4,110490.6
2023-Q1,110882.1
2023-Q2,118938.0
2023-Q3,119637.4
2023-Q4,119751.1
2024-Q1,123388.9
2024-Q2,131038.5
2024-Q3,128544.9
2024-Q4,129827.7
2025-Q1,128963.4
2025-Q2,132385.3
