period,"Quarterly – Production (volume) – Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply – Calendar adjusted data, not seasonally adjusted data – Index, 2021=100 – Italy (Eurostat/sts_inpr_q/Q.PRD.B-D.CA.I21.IT)"
1990-Q1,109.4
1990-Q2,110.7
1990-Q3,93.7
1990-Q4,107.6
1991-Q1,108.6
1991-Q2,108.4
1991-Q3,92.8
1991-Q4,107.8
1992-Q1,108.9
1992-Q2,110.0
1992-Q3,89.7
1992-Q4,104.2
1993-Q1,105.9
1993-Q2,105.9
1993-Q3,88.0
1993-Q4,103.7
1994-Q1,106.4
1994-Q2,111.7
1994-Q3,96.4
1994-Q4,113.4
1995-Q1,115.5
1995-Q2,117.4
1995-Q3,101.9
1995-Q4,118.5
1996-Q1,116.9
1996-Q2,115.8
1996-Q3,99.2
1996-Q4,113.6
1997-Q1,115.4
1997-Q2,120.0
1997-Q3,105.5
1997-Q4,121.9
1998-Q1,120.8
1998-Q2,122.9
1998-Q3,105.6
1998-Q4,119.0
1999-Q1,119.4
1999-Q2,119.5
1999-Q3,106.1
1999-Q4,122.8
2000-Q1,122.8
2000-Q2,126.6
2000-Q3,110.5
2000-Q4,127.6
2001-Q1,126.6
2001-Q2,126.1
2001-Q3,109.0
2001-Q4,121.2
2002-Q1,122.4
2002-Q2,123.3
2002-Q3,108.1
2002-Q4,122.5
2003-Q1,121.8
2003-Q2,121.8
2003-Q3,106.9
2003-Q4,122.4
2004-Q1,121.3
2004-Q2,123.3
2004-Q3,107.3
2004-Q4,120.4
2005-Q1,118.6
2005-Q2,121.5
2005-Q3,107.6
2005-Q4,121.1
2006-Q1,121.5
2006-Q2,125.8
2006-Q3,111.6
2006-Q4,126.4
2007-Q1,126.3
2007-Q2,128.3
2007-Q3,115.1
2007-Q4,124.5
2008-Q1,127.8
2008-Q2,128.7
2008-Q3,109.0
2008-Q4,111.7
2009-Q1,98.7
2009-Q2,98.4
2009-Q3,89.9
2009-Q4,100.8
2010-Q1,102.5
2010-Q2,107.1
2010-Q3,97.8
2010-Q4,106.3
2011-Q1,107.0
2011-Q2,110.3
2011-Q3,98.6
2011-Q4,102.8
2012-Q1,100.2
2012-Q2,102.3
2012-Q3,93.7
2012-Q4,96.0
2013-Q1,95.7
2013-Q2,98.4
2013-Q3,90.2
2013-Q4,95.7
2014-Q1,96.1
2014-Q2,98.3
2014-Q3,88.9
2014-Q4,94.2
2015-Q1,95.9
2015-Q2,99.2
2015-Q3,90.8
2015-Q4,96.1
2016-Q1,97.7
2016-Q2,99.4
2016-Q3,92.3
2016-Q4,99.8
2017-Q1,100.0
2017-Q2,103.1
2017-Q3,96.4
2017-Q4,103.8
2018-Q1,103.7
2018-Q2,105.1
2018-Q3,96.5
2018-Q4,101.6
2019-Q1,103.5
2019-Q2,104.1
2019-Q3,95.2
2019-Q4,99.4
2020-Q1,91.5
2020-Q2,77.5
2020-Q3,90.3
2020-Q4,96.9
2021-Q1,101.1
2021-Q2,102.8
2021-Q3,94.7
2021-Q4,101.4
2022-Q1,102.6
2022-Q2,104.9
2022-Q3,94.7
2022-Q4,99.1
2023-Q1,101.9
2023-Q2,101.3
2023-Q3,92.4
2023-Q4,97.6
2024-Q1,98.2
2024-Q2,97.8
2024-Q3,88.1
2024-Q4,93.5
2025-Q1,96.5
2025-Q2,97.3
2025-Q3,88.3
